Estado,Sumatoria,Mediana,Varianza
Healthy,2.0839663187695152e-07,5.11960433721632e-10,3.041258046414939e-06
Healthy,1.765405554771204e-07,4.2865946298536346e-10,3.373299382270572e-06
Healthy,1.8379744855240815e-07,3.301288869083696e-10,3.227367764947805e-06
Healthy,2.0264706694867616e-07,2.5897823840815475e-10,3.238152348068222e-06
Healthy,1.5013897774931482e-07,2.761322699976856e-10,2.8400670984135765e-06
Healthy,1.6018061418450712e-07,2.953704763525415e-10,2.991689829247167e-06
Healthy,1.5827551284889047e-07,2.577168996871987e-10,2.7630605936386653e-06
Healthy,1.8351709428450318e-07,2.2293011649778128e-10,3.04817310508447e-06
Healthy,1.8784602145234746e-07,2.2929192282644318e-10,3.1368716657897396e-06
Healthy,1.4791907097060339e-07,2.924741522505611e-10,2.5769869704007173e-06
Healthy,1.4519380812738863e-07,2.0576158717368256e-10,2.554356321092384e-06
Healthy,1.7288197900860972e-07,1.7309151979619825e-10,2.644382934333306e-06
Healthy,3.826201163011726e-08,2.24834082661471e-11,5.913434252047913e-07
Healthy,5.025698268551661e-08,4.327864015890907e-11,7.802388897463152e-07
Healthy,4.6227389402881635e-08,2.9032279826294075e-11,7.26129336348276e-07
Healthy,4.939755648447576e-08,4.335231858007617e-11,7.075986855669529e-07
Healthy,6.089362895804511e-08,3.835336653436208e-11,8.720768858327537e-07
Healthy,8.258292901844621e-08,6.187705556767836e-11,1.2136968741646403e-06
Healthy,4.8382828525066594e-08,3.0424742280797795e-11,6.915481367232454e-07
Healthy,5.192291757740051e-08,4.0034491204530434e-11,7.944933259503679e-07
Healthy,4.885676142614416e-08,4.561551905603676e-11,7.693354064296515e-07
Healthy,6.75370638511218e-08,6.015112558786231e-11,1.0264466880273314e-06
Healthy,1.3027114370992116e-07,8.207588752323708e-11,1.8054112741231608e-06
Healthy,6.0114779211144e-08,4.757143584960666e-11,1.0382528018140184e-06
Healthy,9.614772575137196e-08,8.161941191844454e-11,1.710677999429499e-06
Healthy,5.537529674551011e-08,3.427316364914719e-11,9.553132687402209e-07
Healthy,5.913836168406092e-08,6.163380934597709e-11,1.1660819694466816e-06
Healthy,8.448350579059268e-08,7.951266573277223e-11,1.4619034687969094e-06
Healthy,6.55864712794364e-08,7.928755986702465e-11,1.1153847178946437e-06
Healthy,7.54902287465195e-08,8.567888778100959e-11,1.3125744049479817e-06
Healthy,9.112754064084928e-08,7.045076853863063e-11,1.346910105011527e-06
Healthy,5.904056986052006e-08,6.918225454208609e-11,1.0766548852438182e-06
Healthy,6.557203661292757e-08,9.143364591293618e-11,1.1491473132789501e-06
Healthy,6.871281986122048e-08,7.673536975265705e-11,1.2897080952039214e-06
Healthy,7.329465862449308e-08,9.772081924544181e-11,1.2606609718402408e-06
Healthy,1.1064668285586973e-07,2.4799065500255884e-10,2.417732890939365e-06
Healthy,3.1869312887543467e-07,5.396231625187983e-10,5.1504603038858175e-06
Healthy,2.59637366030061e-07,5.803106293924022e-10,4.463193064220191e-06
Healthy,3.8282359630909985e-07,4.8953206523657835e-09,8.068316509949695e-06
Healthy,4.53542205062561e-07,5.774567124969101e-09,9.261277174972403e-06
Healthy,3.0592778524479395e-07,4.40972657538553e-09,6.66840874362828e-06
Healthy,3.238883215885296e-07,5.5159708363955e-09,7.447139068887615e-06
Healthy,3.1703247589469375e-07,4.583699639707459e-09,7.333034110964895e-06
Healthy,3.374850557413716e-07,3.807043832715836e-09,6.661971548742933e-06
Healthy,5.051447845638747e-07,8.636844556229872e-09,1.2751641341659642e-05
Healthy,6.632318625587174e-07,5.773095912200778e-09,1.427224908159095e-05
Healthy,4.649433854754729e-07,4.5201261833818586e-09,9.369506140910455e-06
Healthy,4.792163572238412e-07,4.613443064428727e-09,9.236290616838355e-06
Healthy,1.4922468988592425e-07,6.405638569992982e-10,2.33863949801295e-06
Healthy,1.2660304413928704e-07,3.8335182667265286e-10,1.901951794673663e-06
Healthy,1.1141787217664286e-07,4.970612197884352e-10,1.8010176497727297e-06
Healthy,1.615526115187488e-07,6.650920052851695e-10,2.4424214944219253e-06
Healthy,1.044313380045086e-07,4.801429780658133e-10,1.6227658061120284e-06
Healthy,2.7158145387045275e-07,5.691854269927317e-10,3.7968314991671355e-06
Healthy,3.4479782082253606e-07,1.713309764416711e-09,5.389552958746146e-06
Healthy,3.319295141007179e-07,1.4618378078306797e-09,5.571958901092133e-06
Healthy,3.679502329897728e-07,1.714415416097443e-09,6.11181027947389e-06
Healthy,3.098642900287926e-07,1.6642038518985816e-09,4.969723719071587e-06
Healthy,4.946426295257394e-07,8.560524061981937e-10,6.6871165954303445e-06
Healthy,5.592664478777249e-07,6.0317641010803425e-09,1.229995152539375e-05
Healthy,6.714922430814216e-07,8.406793571913543e-09,1.57723035578991e-05
Healthy,7.164071635194527e-07,7.3525315116823406e-09,1.5403090481421077e-05
Healthy,6.851674025483308e-07,9.257987486862142e-09,1.4537265106754618e-05
Healthy,4.863060359520114e-07,6.005324308538739e-09,1.0251684388605111e-05
Healthy,4.4624607045498025e-07,3.906915873701576e-09,9.703274952850569e-06
Healthy,7.586890772999179e-07,4.044364479177861e-09,1.272621202991353e-05
Healthy,3.1861967826642974e-07,2.4547975185688592e-09,6.464255648995207e-06
Healthy,2.805284389400373e-07,3.9972458405361645e-09,7.125199943271492e-06
Healthy,2.9909714978072864e-07,4.728980346061504e-09,8.763969331604166e-06
Healthy,3.55426702307443e-07,4.343582716335456e-09,8.47904217369354e-06
Healthy,4.737554045313323e-07,3.954784232011414e-09,8.782504206016526e-06
Healthy,5.345754011673295e-07,6.955352860988177e-09,1.3023290092205517e-05
Healthy,2.2082329072611885e-07,2.05287334150124e-09,4.241175840052641e-06
Healthy,4.0722456131740955e-07,3.713228299317883e-09,7.695338999018659e-06
Healthy,1.6869542283082546e-07,2.0900995611295045e-09,3.790394529607385e-06
Healthy,2.6261096354811247e-07,2.8139755043425804e-09,5.547203711118666e-06
Healthy,2.870049070249977e-07,2.776911581593557e-09,5.748484127494524e-06
Healthy,7.61080680042177e-08,1.470695303586807e-09,1.8559737512878778e-06
Healthy,1.115207245645053e-07,1.128798129844057e-09,2.132759564123212e-06
Healthy,1.4302312656426503e-07,1.8757223042505554e-09,3.427848421504818e-06
Healthy,7.683042174697883e-08,1.085459515715769e-09,1.8381597735836998e-06
Healthy,1.3944897523218378e-07,1.6342514152862378e-09,3.3030923646942418e-06
Healthy,1.0857870234801257e-06,2.2389657831284547e-07,0.0003488710217354583
Healthy,1.1461376406525678e-06,2.0275980622732208e-07,0.00030091013226773506
Healthy,7.5814569051057e-07,1.4763362930925857e-07,0.00022990891222793536
Healthy,7.343747267950646e-07,1.7981831500544974e-07,0.0002653763031950986
Healthy,6.851500448382331e-07,1.4308856925857964e-07,0.00022413146008380333
Healthy,6.893332086731191e-07,1.560499452843297e-07,0.00022981730992440802
Healthy,4.6992430755391367e-07,9.534408491642539e-08,0.00014230316457543665
