Estado,Sumatoria,Mediana,Varianza
Healthy,3.6189326771301117e-07,5.98682854989516e-10,3.928618655723423e-06
Healthy,3.2187523741116234e-07,7.166830731182559e-10,3.833611832988644e-06
Healthy,2.9179324441463254e-07,3.7349782450980556e-10,3.329480769517303e-06
Healthy,2.8724607029008546e-07,4.0965550596209945e-10,3.2489761605239344e-06
Healthy,2.939200382410544e-07,3.873068393608098e-10,3.4204165870457733e-06
Healthy,3.019483173511359e-07,2.9705367126779277e-10,3.5288573808506157e-06
Healthy,2.5110303169479424e-07,2.974421938872225e-10,2.9264292266410896e-06
Healthy,2.872770513365684e-07,2.354605565440788e-10,3.2783975277749346e-06
Healthy,2.584410574883597e-07,3.557765707365933e-10,2.990210646765676e-06
Healthy,2.6957117443505494e-07,3.1598345357340514e-10,3.0638493456808366e-06
Healthy,2.3105910651165543e-07,2.11766291170014e-10,2.6532661375875202e-06
Healthy,2.956972218037931e-07,2.7645022092739686e-10,3.3593204345387383e-06
Healthy,8.285709764170783e-08,3.2687114107755164e-11,9.730676561513873e-07
Healthy,9.7401892293119e-08,6.105549622455704e-11,1.109458261421691e-06
Healthy,8.248480801286098e-08,4.1868835925542824e-11,9.408330988852517e-07
Healthy,9.445417840426018e-08,6.327281216296492e-11,1.050384725880601e-06
Healthy,1.0499466849157226e-07,5.264316284050793e-11,1.1678658219753867e-06
Healthy,9.684676944927067e-08,9.939811426256629e-11,1.1108487143452414e-06
Healthy,7.701325809147802e-08,4.2614012676363703e-11,8.704996144086781e-07
Healthy,8.652527785475574e-08,5.408865192903728e-11,9.827257642742964e-07
Healthy,8.409849828706298e-08,6.199030503281441e-11,9.63955062804114e-07
Healthy,1.0694923437005988e-07,9.677387346867458e-11,1.2167994241216407e-06
Healthy,1.6761573668164257e-07,1.1455386014267538e-10,1.9551734543726847e-06
Healthy,7.017606029321423e-08,6.359808216668414e-11,8.476383673139218e-07
Healthy,1.169802994622949e-07,1.2353077699509881e-10,1.3580349109193896e-06
Healthy,6.637397519975895e-08,5.700897182138172e-11,7.949703682028965e-07
Healthy,8.07649651151027e-08,1.0714034162899143e-10,9.871739770429918e-07
Healthy,1.022215130653401e-07,9.291920014385501e-11,1.214958306308362e-06
Healthy,7.886799055861098e-08,9.724843574509617e-11,9.749037916242947e-07
Healthy,9.5592158545453e-08,1.5241995954492212e-10,1.1329883094560837e-06
Healthy,8.91530800972842e-08,8.451330460297798e-11,1.0500226634595923e-06
Healthy,7.177388448505346e-08,1.1794609513056324e-10,8.249863030175714e-07
Healthy,7.534130204370946e-08,1.1227596190473076e-10,8.772342578323654e-07
Healthy,8.053105229535618e-08,1.179821005442501e-10,9.75527797061757e-07
Healthy,8.191879990199259e-08,1.3533700098870236e-10,9.822958734571476e-07
Healthy,1.3677152376065967e-07,3.3391314333659483e-10,1.7810478880811178e-06
Healthy,1.3041306245183948e-06,7.284580618005805e-10,1.456266144495066e-05
Healthy,9.96299565869343e-07,7.996278249798523e-10,1.1209368075952301e-05
Healthy,8.135651831959627e-07,5.959035058543618e-09,1.1222493149300577e-05
Healthy,7.111273635178529e-07,5.4602233761154715e-09,1.0272942278057606e-05
Healthy,6.577021211762329e-07,4.290642254129182e-09,9.507405691016568e-06
Healthy,7.233871306576669e-07,6.170168766004755e-09,1.0122326432441564e-05
Healthy,5.520557588090408e-07,5.189835970185546e-09,8.298397455448525e-06
Healthy,6.424426378075656e-07,4.512964612626528e-09,9.20647076749745e-06
Healthy,6.49116077140373e-07,9.603652292799033e-09,1.1257313580972621e-05
Healthy,7.674793388619223e-07,7.55045390963438e-09,1.203343953354508e-05
Healthy,5.212997775064891e-07,4.830281069035896e-09,7.720929739853923e-06
